Meetup Name,Location,Link,Members
PyHou - Houston Python Enthusiasts!,"Houston, TX",https://www.meetup.com/python-14/,3601
Houston Data Science,"Houston, TX",https://www.meetup.com/Houston-Data-Science/,4516
ODSC Houston Data Science,"Houston, TX",https://www.meetup.com/ODSC-Houston-Data-Science/,96
Houston PyLadies,"Houston, TX",https://www.meetup.com/Houston_PyLadies/,564
PyData Houston,"Houston, TX",https://www.meetup.com/PyData-Houston/,156
Byte,"Houston, TX",https://www.meetup.com/Byte-Academy-Houston-Python-FinTech-Blockchain/,222
North Houston Data Analytics and Machine Learning,"Spring, TX",https://www.meetup.com/North-Houston-Data-Analytics-and-Machine-Learning/,487
GA Houston - Coding - Data - Design - Digital Marketing,"Houston, TX",https://www.meetup.com/GA-Houston-Coding-Data-Design-Digital-Marketing/,341
Flatiron School Houston | Learn to Code | Learn Data Science,"Houston, TX",https://www.meetup.com/Flatiron-School-Houston-Coding-Community/,1642
Houston Scrum Users Group,"Houston, TX",https://www.meetup.com/Houston-Scrum-Users-Group/,364
