Meetup Name,Location,Link,Members
San Francisco Python Pub Night,"San Francisco, CA",https://www.meetup.com/San-Francisco-Python-Drinkup/,672
San Francisco Python Meetup Group,"San Francisco, CA",https://www.meetup.com/sfpython/,13017
East Bay Python,"Oakland, CA",https://www.meetup.com/East-Bay-Python/,1826
Python for Bioinformatics,"San Francisco, CA",https://www.meetup.com/Python-for-Bioinformatics/,267
San Francisco Python Hack Night,"San Francisco, CA",https://www.meetup.com/San-Francisco-Python-Hack-Night/,488
All Things Python,"Sunnyvale, CA",https://www.meetup.com/All-Things-Python/,2405
Silicon Valley Python Workshops,"Palo Alto, CA",https://www.meetup.com/SV-Python-Workshops/,1678
Pyninsula -- Python Peninsula Meetup,"San Mateo, CA",https://www.meetup.com/Pyninsula-Python-Peninsula-Meetup/,951
Stanford Python Meetup,"Stanford, CA",https://www.meetup.com/Stanford-Python-Meetup/,466
Silicon Valley Python Meetup,"Mountain View, CA",https://www.meetup.com/silicon-valley-python/,5126
Learn programming with Python for beginners,"San Jose, CA",https://www.meetup.com/Python-discussion-for-beginners/,254
The San Francisco Flask Meetup Group,"San Francisco, CA",https://www.meetup.com/The-San-Francisco-Flask-Meetup-Group/,471
The San Francisco Django Meetup Group,"San Francisco, CA",https://www.meetup.com/The-San-Francisco-Django-Meetup-Group/,3168
BAyPIGgies,"Mountain View, CA",https://www.meetup.com/BAyPIGgies/,4196
San Francisco Data Science ODSC,"San Francisco, CA",https://www.meetup.com/San-Francisco-ODSC/,3698
PyLadies of San Francisco,"San Francisco, CA",https://www.meetup.com/PyLadiesSF/,6205
San Francisco PyData,"San Francisco, CA",https://www.meetup.com/San-Francisco-PyData/,2085
Bay Area Software Engineers (BASE),"San Francisco, CA",https://www.meetup.com/software/,7646
SFTwisted,"San Francisco, CA",https://www.meetup.com/SFTwisted/,497
ODSC Silicon Valley Data Science,"Palo Alto, CA",https://www.meetup.com/Silicon-Valley-ODSC/,689
PyLadies Oakland/East Bay,"Oakland, CA",https://www.meetup.com/Oakland-PyLadies/,299
TriValley Coders,"San Ramon, CA",https://www.meetup.com/trivalleycoders/,519
Hack & Learn - Beginners (& pros) coding cool projects,"Oakland, CA",https://www.meetup.com/Hack-and-Learn/,985
Silicon Valley Python Beginners,"Mountain View, CA",https://www.meetup.com/python-beginners/,690
Santa Cruz Python Meetup,"Santa Cruz, CA",https://www.meetup.com/Santa-Cruz-Python/,447
Women Who Code SF,"San Francisco, CA",https://www.meetup.com/Women-Who-Code-SF/,13594
SF Bay ACM Chapter,"Sunnyvale, CA",https://www.meetup.com/SF-Bay-ACM/,10219
