Meetup Name,Location,Link,Members
New Hampshire Python Group,"Manchester, NH",https://www.meetup.com/New-Hampshire-Python-Group/,557
The Boston Python User Group,"Cambridge, MA",https://www.meetup.com/bostonpython/,9819
Learn Python Programming,"Boston, MA",https://www.meetup.com/Learn-Python-Programming/,440
Boston Twisted Python,"Somerville, MA",https://www.meetup.com/Boston-Twisted-Python/,93
NH Data Science Meetup (Manchester & Seacoast),"Manchester, NH",https://www.meetup.com/NH-Data-Science-Meetup-Manchester/,480
ODSC Data Science Boston,"Cambridge, MA",https://www.meetup.com/odsc-open-source-data-science/,2665
Django Boston Meetup Group,"Cambridge, MA",https://www.meetup.com/djangoboston/,2998
Boston AI and Machine Learning,"Boston, MA",https://www.meetup.com/boston-ai-machine-learning/,258
Sports Analytics @ Sports Innovation Lab,"Boston, MA",https://www.meetup.com/sports-data-at-sports-innovation-lab/,1126
PyLadies Boston,"Boston, MA",https://www.meetup.com/PyLadies-Boston/,1171
Boston Software Engineers,"Boston, MA",https://www.meetup.com/bostonsoftware/,3520
Women Who Code Boston,"Boston, MA",https://www.meetup.com/Women-Who-Code-Boston/,5589
Boston Machine Learning,"Cambridge, MA",https://www.meetup.com/bostonml/,7351
Boston AI Network.com (Artificial Intelligence Group),"Boston, MA",https://www.meetup.com/Boston-AI-Network-Artificial-Intelligence-Group/,3196
