Meetup Name,Location,Link,Members
PyAtl: Atlanta Python Programmers,"Atlanta, GA",https://www.meetup.com/python-atlanta/,6620
Atlanta Network Programmability User's Group (NPUG),"Atlanta, GA",https://www.meetup.com/AtlantaNPUG/,328
Atlanta Tech Talks,"Atlanta, GA",https://www.meetup.com/Atlanta-Tech-Talks/,1185
Latinos in Tech Atlanta | LiT ATL,"Atlanta, GA",https://www.meetup.com/lit_atlanta/,963
Ansible Atlanta,"Atlanta, GA",https://www.meetup.com/Ansible-Atlanta/,568
Atlanta OpenStack Meetup Group,"Atlanta, GA",https://www.meetup.com/openstack-atlanta/,772
Hacks/Hackers Atlanta,"Atlanta, GA",https://www.meetup.com/HacksHackersATL/,1469
Southern Data Science (BBDS),"Atlanta, GA",https://www.meetup.com/Southern-Data-science/,2027
Atlanta Apache Spark User Group,"Atlanta, GA",https://www.meetup.com/Atlanta-Apache-Spark-User-Group/,1341
Atlanta Open Source Meetup,"Atlanta, GA",https://www.meetup.com/meetup-group-wSeZdhrV/,445
Applied Data Science of Atlanta,"Atlanta, GA",https://www.meetup.com/Applied-Data-Science-of-Atlanta/,1176
ODSC Atlanta Data Science,"Atlanta, GA",https://www.meetup.com/ODSC-Atlanta-Data-Science/,283
